pris_unikkod	own_cat	pris_inkmoms	producturl	direct_url	big_pic	pris_beskrivning	inkfrakt	6608032
00c98d9ef384ebff11e1869f5ecc8f6f	Home / Hi-Fi / Hi-Fi Separates / Amps &amp; Receivers / Power Amps	10090.00	http://www.audioaffair.co.uk/sugden-masterclass-mpa-4-mono-power-amplifier-pair	http://www.audioaffair.co.uk/sugden-masterclass-mpa-4-mono-power-amplifier-pair	http://cdn.audioaffair.co.uk/media/catalog/product/cache/1/small_image/152x/9df78eab33525d08d6e5fb8d27136e95/S/G/SGNMPA4A_1.jpg	Sugden Masterclass MPA-4 Mono Power Amplifier (Pair)	10090	3733
00eec9a5c75b4bb64ed428b8db71a731	Home / Cables / Digital Cables	40	http://www.audioaffair.co.uk/chord-c-digital-rca-digital-cable	http://www.audioaffair.co.uk/chord-c-digital-rca-digital-cable	http://cdn.audioaffair.co.uk/media/catalog/product/cache/1/small_image/152x/9df78eab33525d08d6e5fb8d27136e95/1/1/1152.jpg	Chord C-digital RCA Digital Cable 1.0 Metre	40	CHDCDGRCADC
00f5e5bc26b44cef3f495c389b158ed9	Home / Hi-Fi / Hi-Fi Separates / Amps &amp; Receivers / Headphone Amplifiers	614.95	http://www.audioaffair.co.uk/lehmann-audio-linear-headphone-amplifier	http://www.audioaffair.co.uk/lehmann-audio-linear-headphone-amplifier	http://cdn.audioaffair.co.uk/media/catalog/product/cache/1/small_image/152x/9df78eab33525d08d6e5fb8d27136e95/l/e/lehmann-linear-headphone-amplifier-black_1.jpg	Lehmann Audio Linear Headphone Amplifier	614.95	655
011389c2643594e171a54c169b7d5b7a	Home / Cables / Hi-Fi Interconnects	85.45	http://www.audioaffair.co.uk/qed-reference-audio-rca-interconnects	http://www.audioaffair.co.uk/qed-reference-audio-rca-interconnects	http://cdn.audioaffair.co.uk/media/catalog/product/cache/1/small_image/152x/9df78eab33525d08d6e5fb8d27136e95/q/e/qedraud_2.jpg	QED Reference Audio 40 RCA Interconnects 0.6 Metre	85.45	2880
011d695199ae585e0168f0672903b091	Home / Speakers / Floor Standing Speakers	3999.00	http://www.audioaffair.co.uk/dali-rubicon-8-speakers-pair	http://www.audioaffair.co.uk/dali-rubicon-8-speakers-pair	http://cdn.audioaffair.co.uk/media/catalog/product/cache/1/small_image/152x/9df78eab33525d08d6e5fb8d27136e95/r/u/rubicon_8_black_mgrill_1.jpg	Dali Rubicon 8 Speakers (Pair)	3999	DALIRUB8
01283d6b74b5e1336084e94cc59f8862	Home / Hi-Fi / Hi-Fi Separates / Amps &amp; Receivers / Pre Amps	699.95	http://www.audioaffair.co.uk/croft-acoustics-micro-25-pre-amplifier	http://www.audioaffair.co.uk/croft-acoustics-micro-25-pre-amplifier	http://cdn.audioaffair.co.uk/media/catalog/product/cache/1/small_image/152x/9df78eab33525d08d6e5fb8d27136e95/C/F/CFT25PR.jpg	Croft Acoustics Micro 25 Pre Amplifier	699.95	3600
013f950517222fff21fce6e8e37e9be2	Home / Hi-Fi / Hi-Fi Separates / Amps &amp; Receivers / Pre Amps	6499.00	http://www.audioaffair.co.uk/primare-pre60-pre-amplifier	http://www.audioaffair.co.uk/primare-pre60-pre-amplifier	http://cdn.audioaffair.co.uk/media/catalog/product/cache/1/small_image/152x/9df78eab33525d08d6e5fb8d27136e95/p/r/pre60_front_straight_white.jpg	Primare PRE60 Pre Amplifier	6499	PRE60
01421bc09d79416e349cbc93b4f0c73b	Home / Cables / Speaker Cables	675.00	http://www.audioaffair.co.uk/qed-silver-anniversary-xt-speaker-cable-100m-reel	http://www.audioaffair.co.uk/qed-silver-anniversary-xt-speaker-cable-100m-reel	http://cdn.audioaffair.co.uk/media/catalog/product/cache/1/small_image/152x/9df78eab33525d08d6e5fb8d27136e95/Q/E/QEDSAXTSR.jpg	QED Silver Anniversary XT Speaker Cable - 100m Reel	675	3669
01435164350de7b93639f595f4c628a0	Home / Sale / Hi-Fi Warehouse Clearance	795.00	http://www.audioaffair.co.uk/elipson-mc1-bt-music-centre-open-box	http://www.audioaffair.co.uk/elipson-mc1-bt-music-centre-open-box	http://cdn.audioaffair.co.uk/media/catalog/product/cache/1/small_image/152x/9df78eab33525d08d6e5fb8d27136e95/e/l/elpmc1c.jpg	Elipson MC1 BT Music Centre - Warehouse Clearance	795	5276-OB
014ed629c6312bfa82337b30f993a973	Home / Radios / WiFi &amp; Internet Radios	649.00	http://www.audioaffair.co.uk/roberts-s300-bluetooth-internet-radio-multi-room-speaker-base-station	http://www.audioaffair.co.uk/roberts-s300-bluetooth-internet-radio-multi-room-speaker-base-station	http://cdn.audioaffair.co.uk/media/catalog/product/cache/1/small_image/152x/9df78eab33525d08d6e5fb8d27136e95/s/3/s300_angle_right_zoom.jpg	Roberts S300 Bluetooth Internet Radio Multi Room Speaker Base Station	649	RBTRS300
01515af213564a04ded9896570c31800	Home / Specials / Gift Ideas / HiFi Gifts under £500	399.00	http://www.audioaffair.co.uk/ruark-audio-r2-mkiii-dab-radio-bluetooth-wifi	http://www.audioaffair.co.uk/ruark-audio-r2-mkiii-dab-radio-bluetooth-wifi	http://cdn.audioaffair.co.uk/media/catalog/product/cache/1/small_image/152x/9df78eab33525d08d6e5fb8d27136e95/2/3/233664379alt1.jpg	Ruark Audio R2 MkIII DAB Radio with Bluetooth and WiFi	399	RUR2MK3
0152ff3a2a2a34dfc55474b1d1d4701a	Home / Furniture / Speaker Stands	97.00	http://www.audioaffair.co.uk/hi-fi-racks-600mm-slimline-speaker-stands	http://www.audioaffair.co.uk/hi-fi-racks-600mm-slimline-speaker-stands	http://cdn.audioaffair.co.uk/media/catalog/product/cache/1/small_image/152x/9df78eab33525d08d6e5fb8d27136e95/s/i/single_oak-l_1.jpg	Hi-Fi Racks 600mm Slimline Speaker Stands	97	HFRSLSPKST600
0164638c9631bbb1d3eff51c4f3c6d43	Home / Cables / Speaker Cables	8.00	http://www.audioaffair.co.uk/chord-sarsen-speaker-cable-per-metre	http://www.audioaffair.co.uk/chord-sarsen-speaker-cable-per-metre	http://cdn.audioaffair.co.uk/media/catalog/product/cache/1/small_image/152x/9df78eab33525d08d6e5fb8d27136e95/c/h/chord-sarsen.jpg	Chord Sarsen Speaker Cable - Per Metre	8	6679
017ff05a883b1f551a70978921b32eb2	Home / Headphones / Portable High Res Players	449.00	http://www.audioaffair.co.uk/onkyo-dacha300-portable-high-res-music-player	http://www.audioaffair.co.uk/onkyo-dacha300-portable-high-res-music-player	http://cdn.audioaffair.co.uk/media/catalog/product/cache/1/small_image/152x/9df78eab33525d08d6e5fb8d27136e95/d/a/dac-ha300_angled_n9999x9999.png.jpg	Onkyo DAC-HA300 Portable High Res Music Player	449	ONKDCHA300
0189e5351444ad6812728ff5026085dd	Home / Hi-Fi / Vinyl &amp; Accessories / Turntable Essentials / Turntable Dust Covers	169.00	http://www.audioaffair.co.uk/tonar-cover-2h-turntable-dust-cover	http://www.audioaffair.co.uk/tonar-cover-2h-turntable-dust-cover	http://cdn.audioaffair.co.uk/media/catalog/product/cache/1/small_image/152x/9df78eab33525d08d6e5fb8d27136e95/t/o/tonar-cover-dust-cover-for-turntables_1_1.jpg	Tonar Cover 2H Turntable Dust Cover	169	TONAR5997
018b15598f9dd0f4e949cf46eb7cf6a8	Home / Specials / Gift Ideas / Luxury HiFi Gifts over £500 / Treat Yourself Hi-Fi Gifts	419.00	http://www.audioaffair.co.uk/wharfedale-jade-1-speakers-piano-black-discount	http://www.audioaffair.co.uk/wharfedale-jade-1-speakers-piano-black-discount	http://cdn.audioaffair.co.uk/media/catalog/product/cache/1/small_image/152x/9df78eab33525d08d6e5fb8d27136e95/w/h/wharfedale-jade-1-speakers-gloss-black-pair.jpg	Wharfedale Jade 1 Speakers (Pair) - Piano Black	419	5373-PianoBlack
